Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
65, 33554432, 1, 1, 200, 10.4222, 4.20406, N/A, 1.83471, 147.233, 6599.35, 177.688, 256, 512, 128, 1, 2, 16, 4.43738, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1, 1, 200, 10.4222, 4.20406, N/A, 1.83471, 147.233, 6599.35, 177.688, 256, 512, 128, 1, 2, 16, 4.43738, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1, 1, 200, 10.4222, 4.20406, N/A, 1.83471, 147.233, 6599.35, 177.688, 256, 512, 128, 1, 2, 16, 4.43738, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1, 1, 200, 10.4222, 4.20406, N/A, 1.83471, 147.233, 6599.35, 177.688, 256, 512, 128, 1, 2, 16, 4.43738, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1, 1, 200, 10.4222, 4.20406, N/A, 1.83471, 147.233, 6599.35, 177.688, 256, 512, 128, 1, 2, 16, 4.43738, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1, 1, 200, 10.4222, 4.20406, N/A, 1.83471, 147.233, 6599.35, 177.688, 256, 512, 128, 1, 2, 16, 4.43738, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 838860, 1, 1, 200, 6.62741, 3.5261, N/A, 0.56894, 9.12007, 449.954, 19.7297, 128, 128, 16, 1, 1, 4, 1.03782, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 64, 1, 200, 9.62661, 4.82554, N/A, 2.08446, 14.9029, 139.985, 296.242, 32, 32, 16, 1, 1, 8, 2.5982, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 64, 1, 64, 8.57153, 4.77711, N/A, 0.586439, 14.7708, 93.9255, 139.968, 16, 64, 0.25, 1, 4, 8, 5.46942, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 64, 1, 64, 8.57153, 4.77711, N/A, 0.586439, 14.7708, 93.9255, 139.968, 16, 64, 0.25, 1, 4, 8, 5.46942, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 64, 1, 8192, 28.9999, 6.77808, N/A, 375.05, 970.202, 16952.9, 7896.43, 128, 2, 2, 1, 1, 1, 0.0969482, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 64, 1, 128, 9.20064, 4.77711, N/A, 1.30063, 58.1169, 107.067, 222.764, 16, 64, 0.25, 1, 2, 16, 3.43657, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 64, 1, 128, 9.20064, 4.77711, N/A, 1.30063, 58.1169, 107.067, 222.764, 16, 64, 0.25, 1, 2, 16, 3.43657, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 64, 1, 128, 9.20064, 4.77711, N/A, 1.30063, 58.1169, 107.067, 222.764, 16, 64, 0.25, 1, 2, 16, 3.43657, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 64, 1, 128, 9.20064, 4.77711, N/A, 1.30063, 58.1169, 107.067, 222.764, 16, 64, 0.25, 1, 2, 16, 3.43657, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 64, 1, 128, 9.20064, 4.77711, N/A, 1.30063, 58.1169, 107.067, 222.764, 16, 64, 0.25, 1, 2, 16, 3.43657, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1024, 1, 128, 7.18042, 6.77808, N/A, 0.886475, 10.1433, 34.273, 121.286, 4, 4, 0.0625, 1, 1, 8, 6.31192, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
