Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
65, 33554432, 1, 1, 64, 8.26898, 0.71961, N/A, 0.81995, 0.790273, 48490.5, 274.244, 64, 64, 2, 1, 1, 16, 70.7408, 2, 4, 32, 1, 16, 4, 79.6914, 
65, 33554432, 1, 1, 64, 8.26898, 0.71961, N/A, 0.81995, 0.790273, 48490.5, 274.244, 64, 64, 2, 1, 1, 16, 70.7408, 2, 4, 32, 1, 16, 4, 79.6914, 
65, 33554432, 1, 1, 64, 8.26898, 0.71961, N/A, 0.81995, 0.790273, 48490.5, 274.244, 64, 64, 2, 1, 1, 16, 70.7408, 2, 4, 32, 1, 16, 4, 79.6914, 
65, 33554432, 1, 1, 64, 8.26898, 0.71961, N/A, 0.81995, 0.790273, 48490.5, 274.244, 64, 64, 2, 1, 1, 16, 70.7408, 2, 4, 32, 1, 16, 4, 79.6914, 
65, 33554432, 1, 1, 64, 8.26898, 0.71961, N/A, 0.81995, 0.790273, 48490.5, 274.244, 64, 64, 2, 1, 1, 16, 70.7408, 2, 4, 32, 1, 16, 4, 79.6914, 
65, 33554432, 1, 1, 64, 8.26898, 0.71961, N/A, 0.81995, 0.790273, 48490.5, 274.244, 64, 64, 2, 1, 1, 16, 70.7408, 2, 4, 32, 1, 16, 4, 79.6914, 
65, 33554432, 1, 1, 64, 8.26898, 0.71961, N/A, 0.81995, 0.790273, 48490.5, 274.244, 64, 64, 2, 1, 1, 16, 70.7408, 2, 4, 32, 1, 16, 4, 79.6914, 
65, 33554432, 1, 1, 64, 8.26898, 0.71961, N/A, 0.81995, 0.790273, 48490.5, 274.244, 64, 64, 2, 1, 1, 16, 70.7408, 2, 4, 32, 1, 16, 4, 79.6914, 
65, 33554432, 1, 1, 64, 8.26898, 0.71961, N/A, 0.81995, 0.790273, 48490.5, 274.244, 64, 64, 2, 1, 1, 16, 70.7408, 2, 4, 32, 1, 16, 4, 79.6914, 
65, 33554432, 1, 1, 64, 8.26898, 0.71961, N/A, 0.81995, 0.790273, 48490.5, 274.244, 64, 64, 2, 1, 1, 16, 70.7408, 2, 4, 32, 1, 16, 4, 79.6914, 
65, 33554432, 1, 1, 64, 8.26898, 0.71961, N/A, 0.81995, 0.790273, 48490.5, 274.244, 64, 64, 2, 1, 1, 16, 70.7408, 2, 4, 32, 1, 16, 4, 79.6914, 
65, 33554432, 1, 1, 64, 8.26898, 0.71961, N/A, 0.81995, 0.790273, 48490.5, 274.244, 64, 64, 2, 1, 1, 16, 70.7408, 2, 4, 32, 1, 16, 4, 79.6914, 
65, 33554432, 1, 1, 64, 8.26898, 0.71961, N/A, 0.81995, 0.790273, 48490.5, 274.244, 64, 64, 2, 1, 1, 16, 70.7408, 2, 4, 32, 1, 16, 4, 79.6914, 
65, 33554432, 1, 1, 64, 8.26898, 0.71961, N/A, 0.81995, 0.790273, 48490.5, 274.244, 64, 64, 2, 1, 1, 16, 70.7408, 2, 4, 32, 1, 16, 4, 79.6914, 
65, 33554432, 1, 1, 64, 8.26898, 0.71961, N/A, 0.81995, 0.790273, 48490.5, 274.244, 64, 64, 2, 1, 1, 16, 70.7408, 2, 4, 32, 1, 16, 4, 79.6914, 
65, 33554432, 1, 1, 64, 8.26898, 0.71961, N/A, 0.81995, 0.790273, 48490.5, 274.244, 64, 64, 2, 1, 1, 16, 70.7408, 2, 4, 32, 1, 16, 4, 79.6914, 
65, 33554432, 1, 1, 64, 8.29724, 0.396585, N/A, 0.845931, 0.850012, 53367.3, 293.433, 128, 128, 2, 1, 4, 8, 63.4837, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1, 1, 64, 8.29724, 0.396585, N/A, 0.845931, 0.850012, 53367.3, 293.433, 128, 128, 2, 1, 4, 8, 63.4837, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
