Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
65, 33554432, 1, 1, 64, 10.1878, 4.2363, N/A, 0.657783, 11.0188, 8226.18, 161.106, 256, 512, 4, 1, 4, 8, 4.75181, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1, 1, 64, 10.1878, 4.2363, N/A, 0.657783, 11.0188, 8226.18, 161.106, 256, 512, 4, 1, 4, 8, 4.75181, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1, 1, 64, 10.1878, 4.2363, N/A, 0.657783, 11.0188, 8226.18, 161.106, 256, 512, 4, 1, 4, 8, 4.75181, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1, 1, 64, 10.1878, 4.2363, N/A, 0.657783, 11.0188, 8226.18, 161.106, 256, 512, 4, 1, 4, 8, 4.75181, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1, 1, 64, 10.1878, 4.2363, N/A, 0.657783, 11.0188, 8226.18, 161.106, 256, 512, 4, 1, 4, 8, 4.75181, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1, 1, 64, 10.1878, 4.2363, N/A, 0.657783, 11.0188, 8226.18, 161.106, 256, 512, 4, 1, 4, 8, 4.75181, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1, 1, 64, 10.1878, 4.2363, N/A, 0.657783, 11.0188, 8226.18, 161.106, 256, 512, 4, 1, 4, 8, 4.75181, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1, 1, 64, 10.1878, 4.2363, N/A, 0.657783, 11.0188, 8226.18, 161.106, 256, 512, 4, 1, 4, 8, 4.75181, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1, 1, 64, 10.1878, 4.2363, N/A, 0.657783, 11.0188, 8226.18, 161.106, 256, 512, 4, 1, 4, 8, 4.75181, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1, 1, 64, 10.1878, 4.2363, N/A, 0.657783, 11.0188, 8226.18, 161.106, 256, 512, 4, 1, 4, 8, 4.75181, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1, 1, 64, 10.1878, 4.2363, N/A, 0.657783, 11.0188, 8226.18, 161.106, 256, 512, 4, 1, 4, 8, 4.75181, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1, 1, 64, 10.1878, 4.2363, N/A, 0.657783, 11.0188, 8226.18, 161.106, 256, 512, 4, 1, 4, 8, 4.75181, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 33554432, 1, 1, 64, 10.1878, 4.2363, N/A, 0.657783, 11.0188, 8226.18, 161.106, 256, 512, 4, 1, 4, 8, 4.75181, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
