Layer name,	IFMAP Height,	IFMAP Width,	Filter Height,	Filter Width,	Channels,	Num Filter,	Strides,
Conv1,	258,	258,	3,	3,	3,	32,	1,
Conv2,	258,	258,	3,	3,	32,	64,	2,
Conv3,	128,	128,	1,	1,	64,	32,	1,
Conv4,	130,	130,	3,	3,	32,	64,	1,
Resid5,	128,	128,	1,	1,	64,	64,	1,
Conv6,	130,	130,	3,	3,	64,	128,	2,
Conv7,	64,	64,	1,	1,	128,	64,	1,
Conv8,	66,	66,	3,	3,	64,	128,	1,
Resid9,	64,	64,	1,	1,	128,	128,	1,
Conv10,	64,	64,	1,	1,	128,	64,	1,
Conv11,	66,	66,	3,	3,	64,	128,	1,
Resid12,	64,	64,	1,	1,	128,	128,	1,
Conv13,	66,	66,	3,	3,	128,	256,	2,
Conv14,	32,	32,	1,	1,	256,	128,	1,
Conv15,	34,	34,	3,	3,	128,	256,	1,
Resid16,	32,	32,	1,	1,	256,	256,	1,
Conv17,	32,	32,	1,	1,	256,	128,	1,
Conv18,	34,	34,	3,	3,	128,	256,	1,
Resid19,	32,	32,	1,	1,	256,	256,	1,
Conv20,	32,	32,	1,	1,	256,	128,	1,
Conv21,	34,	34,	3,	3,	128,	256,	1,
Resid22,	32,	32,	1,	1,	256,	256,	1,
Conv23,	32,	32,	1,	1,	256,	128,	1,
Conv24,	34,	34,	3,	3,	128,	256,	1,
Resid25,	32,	32,	1,	1,	256,	256,	1,
Conv26,	32,	32,	1,	1,	256,	128,	1,
Conv27,	34,	34,	3,	3,	128,	256,	1,
Resid28,	32,	32,	1,	1,	256,	256,	1,
Conv29,	32,	32,	1,	1,	256,	128,	1,
Conv30,	34,	34,	3,	3,	128,	256,	1,
Resid31,	32,	32,	1,	1,	256,	256,	1,
Conv32,	32,	32,	1,	1,	256,	128,	1,
Conv33,	34,	34,	3,	3,	128,	256,	1,
Resid34,	32,	32,	1,	1,	256,	256,	1,
Conv35,	32,	32,	1,	1,	256,	128,	1,
Conv36,	34,	34,	3,	3,	128,	256,	1,
Resid37,	32,	32,	1,	1,	256,	256,	1,
Conv38,	34,	34,	3,	3,	256,	512,	2,
Conv39,	16,	16,	1,	1,	512,	256,	1,
Conv40,	18,	18,	3,	3,	256,	512,	1,
Resid41,	16,	16,	1,	1,	512,	512,	1,
Conv42,	16,	16,	1,	1,	512,	256,	1,
Conv43,	18,	18,	3,	3,	256,	512,	1,
Resid44,	16,	16,	1,	1,	512,	512,	1,
Conv45,	16,	16,	1,	1,	512,	256,	1,
Conv46,	18,	18,	3,	3,	256,	512,	1,
Resid47,	16,	16,	1,	1,	512,	512,	1,
Conv48,	16,	16,	1,	1,	512,	256,	1,
Conv49,	18,	18,	3,	3,	256,	512,	1,
Resid50,	16,	16,	1,	1,	512,	512,	1,
Conv51,	16,	16,	1,	1,	512,	256,	1,
Conv52,	18,	18,	3,	3,	256,	512,	1,
Resid53,	16,	16,	1,	1,	512,	512,	1,
Conv54,	16,	16,	1,	1,	512,	256,	1,
Conv55,	18,	18,	3,	3,	256,	512,	1,
Resid56,	16,	16,	1,	1,	512,	512,	1,
Conv57,	16,	16,	1,	1,	512,	256,	1,
Conv58,	18,	18,	3,	3,	256,	512,	1,
Resid59,	16,	16,	1,	1,	512,	512,	1,
Conv60,	16,	16,	1,	1,	512,	256,	1,
Conv61,	18,	18,	3,	3,	256,	512,	1,
Resid62,	16,	16,	1,	1,	512,	512,	1,
Conv63,	18,	18,	3,	3,	512,	1024,	2,
Conv64,	8,	8,	1,	1,	1024,	512,	1,
Conv65,	10,	10,	3,	3,	512,	1024,	1,
Resid66,	8,	8,	1,	1,	1024,	1024,	1,
Conv67,	8,	8,	1,	1,	1024,	512,	1,
Conv68,	10,	10,	3,	3,	512,	1024,	1,
Resid69,	8,	8,	1,	1,	1024,	1024,	1,
Conv70,	8,	8,	1,	1,	1024,	512,	1,
Conv71,	10,	10,	3,	3,	512,	1024,	1,
Resid72,	8,	8,	1,	1,	1024,	1024,	1,
Conv73,	8,	8,	1,	1,	1024,	512,	1,
Conv74,	10,	10,	3,	3,	512,	1024,	1,
Resid75,	8,	8,	1,	1,	1024,	1024,	1,
