Stat,layer-0,layer-1,layer-2,layer-3,layer-4,layer-5,layer-6,layer-7,layer-8,layer-9,layer-10,layer-11,layer-12,layer-13,layer-14,layer-15,layer-16,layer-17,layer-18,layer-19,layer-20,layer-21,layer-22,layer-23,layer-24,layer-25,layer-26,layer-27,layer-28,layer-29,layer-30,layer-31,layer-32,layer-33,layer-34,layer-35,layer-36,layer-37,layer-38,layer-39,layer-40,layer-41,layer-42,layer-43,layer-44,layer-45,layer-46,layer-47,layer-48,layer-49,layer-50,layer-51
cycle count,134,1033,263,262,1031,262,518,262,518,1030,518,1030,518,1030,518,1030,518,1030,518,1030,518,1030,518,1030,518,1030,2054,1030,2054,1030,2054,1030,2054,1030,2054,1030,2054,1030,2054,1030,2054,1030,2054,4102,2054,4102,2054,4102,2054,4102,2054,4102
latency,0.000134,0.0010329999999999998,0.000263,0.00026199999999999997,0.001031,0.00026199999999999997,0.000518,0.00026199999999999997,0.000518,0.0010299999999999999,0.000518,0.0010299999999999999,0.000518,0.0010299999999999999,0.000518,0.0010299999999999999,0.000518,0.0010299999999999999,0.000518,0.0010299999999999999,0.000518,0.0010299999999999999,0.000518,0.0010299999999999999,0.000518,0.0010299999999999999,0.002054,0.0010299999999999999,0.002054,0.0010299999999999999,0.002054,0.0010299999999999999,0.002054,0.0010299999999999999,0.002054,0.0010299999999999999,0.002054,0.0010299999999999999,0.002054,0.0010299999999999999,0.002054,0.0010299999999999999,0.002054,0.004102,0.002054,0.004102,0.002054,0.004102,0.002054,0.004102,0.002054,0.004102
Accumulated latency,0.000134,0.0011669999999999999,0.0014299999999999998,0.001692,0.0027229999999999997,0.002985,0.003503,0.003765,0.004283,0.005313,0.005831,0.006861,0.007379,0.008409,0.008927,0.009956999999999999,0.010474999999999998,0.011504999999999998,0.012022999999999997,0.013052999999999997,0.013570999999999996,0.014600999999999996,0.015118999999999995,0.016148999999999997,0.016666999999999998,0.017696999999999997,0.019750999999999998,0.020780999999999997,0.022834999999999998,0.023864999999999997,0.025918999999999998,0.026948999999999997,0.029002999999999998,0.030032999999999997,0.032087,0.033117,0.035171,0.036201000000000004,0.038255000000000004,0.03928500000000001,0.04133900000000001,0.04236900000000001,0.04442300000000001,0.04852500000000001,0.05057900000000001,0.054681000000000014,0.056735000000000015,0.060837000000000016,0.06289100000000002,0.06699300000000001,0.06904700000000001,0.073149
FFT convs,66,520,132,130,516,130,258,130,258,514,258,514,258,514,258,514,258,514,258,514,258,514,258,514,258,514,1026,514,1026,514,1026,514,1026,514,1026,514,1026,514,1026,514,1026,514,1026,2050,1026,2050,1026,2050,1026,2050,1026,2050
Obj buffer reads,6144,40960,26112,16384,26112,16384,8192,16384,8192,16384,8192,4096,8192,4096,8192,4096,8192,4096,8192,4096,8192,4096,8192,4096,8192,4096,8192,4096,2048,4096,2048,4096,2048,4096,2048,4096,2048,4096,2048,4096,2048,4096,2048,4096,2048,1024,2048,1024,2048,1024,2048,1024
Obj buffer writes,32672,65536,16384,16320,16384,4096,8192,4096,8192,4096,2048,4096,2048,4096,2048,4096,2048,4096,2048,4096,2048,4096,2048,4096,2048,4096,2048,1024,2048,1024,2048,1024,2048,1024,2048,1024,2048,1024,2048,1024,2048,1024,2048,1024,512,1024,512,1024,512,1024,512,1024
Kern buffer reads,32,256,64,64,256,64,128,64,128,512,128,512,128,512,128,512,128,512,128,512,128,512,128,512,128,512,1536,256,1536,256,1536,256,1536,256,1536,256,1536,256,1536,256,1536,256,1536,5120,512,5120,512,5120,512,5120,512,5120
MS utilization,0.34952533333333335,0.9320675555555555,0.9903217777777777,0.9320675555555555,0.9903217777777777,0.9320675555555555,0.46603377777777777,0.9320675555555555,0.46603377777777777,0.9320675555555555,0.46603377777777777,0.23301688888888888,0.46603377777777777,0.23301688888888888,0.46603377777777777,0.23301688888888888,0.46603377777777777,0.23301688888888888,0.46603377777777777,0.23301688888888888,0.46603377777777777,0.23301688888888888,0.46603377777777777,0.23301688888888888,0.46603377777777777,0.23301688888888888,0.46603377777777777,0.23301688888888888,0.11650844444444444,0.23301688888888888,0.11650844444444444,0.23301688888888888,0.11650844444444444,0.23301688888888888,0.11650844444444444,0.23301688888888888,0.11650844444444444,0.23301688888888888,0.11650844444444444,0.23301688888888888,0.11650844444444444,0.23301688888888888,0.11650844444444444,0.23301688888888888,0.11650844444444444,0.05825422222222222,0.11650844444444444,0.05825422222222222,0.11650844444444444,0.05825422222222222,0.11650844444444444,0.05825422222222222
Scaled MS utilization,0.0006314993703805092,0.013267865559509687,0.003578496432156219,0.0033169663898774218,0.013988667871156128,0.0033169663898774218,0.003291451263801442,0.0033169663898774218,0.003291451263801442,0.013114774803053807,0.003291451263801442,0.0032786937007634517,0.003291451263801442,0.0032786937007634517,0.003291451263801442,0.0032786937007634517,0.003291451263801442,0.0032786937007634517,0.003291451263801442,0.0032786937007634517,0.003291451263801442,0.0032786937007634517,0.003291451263801442,0.0032786937007634517,0.003291451263801442,0.0032786937007634517,0.013089259676977825,0.0032786937007634517,0.0032723149192444563,0.0032786937007634517,0.0032723149192444563,0.0032786937007634517,0.0032723149192444563,0.0032786937007634517,0.0032723149192444563,0.0032786937007634517,0.0032723149192444563,0.0032786937007634517,0.0032723149192444563,0.0032786937007634517,0.0032723149192444563,0.0032786937007634517,0.0032723149192444563,0.013076502113939837,0.0032723149192444563,0.0032691255284849592,0.0032723149192444563,0.0032691255284849592,0.0032723149192444563,0.0032691255284849592,0.0032723149192444563,0.0032691255284849592
OP,1804868352.0,9625964544.0,1073741824.0,9588326400.0,9588326400.0,1073741824.0,9513271296.0,1073741824.0,9513271296.0,9513271296.0,1073741824.0,9364045824.0,1073741824.0,9364045824.0,1073741824.0,9364045824.0,1073741824.0,9364045824.0,1073741824.0,9364045824.0,1073741824.0,9364045824.0,1073741824.0,9364045824.0,1073741824.0,9364045824.0,9364045824.0,1073741824.0,9069133824.0,1073741824.0,9069133824.0,1073741824.0,9069133824.0,1073741824.0,9069133824.0,1073741824.0,9069133824.0,1073741824.0,9069133824.0,1073741824.0,9069133824.0,1073741824.0,9069133824.0,9069133824.0,1073741824.0,8493465600.0,1073741824.0,8493465600.0,1073741824.0,8493465600.0,1073741824.0,8493465600.0
Photonic energy,5.6718839099410035e-06,4.468757019953518e-05,1.1343767819882007e-05,1.1171892549883795e-05,4.4343819659538754e-05,1.1171892549883795e-05,2.2171909829769377e-05,1.1171892549883795e-05,2.2171909829769377e-05,4.417194438954054e-05,2.2171909829769377e-05,4.417194438954054e-05,2.2171909829769377e-05,4.417194438954054e-05,2.2171909829769377e-05,4.417194438954054e-05,2.2171909829769377e-05,4.417194438954054e-05,2.2171909829769377e-05,4.417194438954054e-05,2.2171909829769377e-05,4.417194438954054e-05,2.2171909829769377e-05,4.417194438954054e-05,2.2171909829769377e-05,4.417194438954054e-05,8.817201350908287e-05,4.417194438954054e-05,8.817201350908287e-05,4.417194438954054e-05,8.817201350908287e-05,4.417194438954054e-05,8.817201350908287e-05,4.417194438954054e-05,8.817201350908287e-05,4.417194438954054e-05,8.817201350908287e-05,4.417194438954054e-05,8.817201350908287e-05,4.417194438954054e-05,8.817201350908287e-05,4.417194438954054e-05,8.817201350908287e-05,0.00017617215174816755,8.817201350908287e-05,0.00017617215174816755,8.817201350908287e-05,0.00017617215174816755,8.817201350908287e-05,0.00017617215174816755,8.817201350908287e-05,0.00017617215174816755
Digital energy,8.30326048e-05,0.00018020607199999999,4.9956846399999995e-05,4.680491839999999e-05,5.4836411199999996e-05,1.6763216e-05,2.59394848e-05,1.6763216e-05,2.59394848e-05,2.1800067199999998e-05,1.08399904e-05,1.80251936e-05,1.08399904e-05,1.80251936e-05,1.08399904e-05,1.80251936e-05,1.08399904e-05,1.80251936e-05,1.08399904e-05,1.80251936e-05,1.08399904e-05,1.80251936e-05,1.08399904e-05,1.80251936e-05,1.08399904e-05,1.80251936e-05,2.12282656e-05,1.031816e-05,1.93408288e-05,1.031816e-05,1.93408288e-05,1.031816e-05,1.93408288e-05,1.031816e-05,1.93408288e-05,1.031816e-05,1.93408288e-05,1.031816e-05,1.93408288e-05,1.031816e-05,1.93408288e-05,1.031816e-05,1.93408288e-05,3.23530016e-05,1.4936809599999998e-05,3.1409283199999994e-05,1.4936809599999998e-05,3.1409283199999994e-05,1.4936809599999998e-05,3.1409283199999994e-05,1.4936809599999998e-05,3.1409283199999994e-05
DAC energy,1.9070976e-06,1.27401984e-05,8.060928e-06,5.0724864e-06,8.1788928e-06,5.0724864e-06,2.5952256e-06,5.0724864e-06,2.5952256e-06,5.3477376e-06,2.5952256e-06,1.5728639999999999e-06,2.5952256e-06,1.5728639999999999e-06,2.5952256e-06,1.5728639999999999e-06,2.5952256e-06,1.5728639999999999e-06,2.5952256e-06,1.5728639999999999e-06,2.5952256e-06,1.5728639999999999e-06,2.5952256e-06,1.5728639999999999e-06,2.5952256e-06,1.5728639999999999e-06,3.4603007999999997e-06,1.4155776e-06,1.5728639999999999e-06,1.4155776e-06,1.5728639999999999e-06,1.4155776e-06,1.5728639999999999e-06,1.4155776e-06,1.5728639999999999e-06,1.4155776e-06,1.5728639999999999e-06,1.4155776e-06,1.5728639999999999e-06,1.4155776e-06,1.5728639999999999e-06,1.4155776e-06,1.5728639999999999e-06,4.4040192e-06,9.437184e-07,3.4603007999999997e-06,9.437184e-07,3.4603007999999997e-06,9.437184e-07,3.4603007999999997e-06,9.437184e-07,3.4603007999999997e-06
ADC energy,8.029470719999999e-05,0.0001610612736,4.02653184e-05,4.0108032e-05,4.02653184e-05,1.00663296e-05,2.01326592e-05,1.00663296e-05,2.01326592e-05,1.00663296e-05,5.0331648e-06,1.00663296e-05,5.0331648e-06,1.00663296e-05,5.0331648e-06,1.00663296e-05,5.0331648e-06,1.00663296e-05,5.0331648e-06,1.00663296e-05,5.0331648e-06,1.00663296e-05,5.0331648e-06,1.00663296e-05,5.0331648e-06,1.00663296e-05,5.0331648e-06,2.5165824e-06,5.0331648e-06,2.5165824e-06,5.0331648e-06,2.5165824e-06,5.0331648e-06,2.5165824e-06,5.0331648e-06,2.5165824e-06,5.0331648e-06,2.5165824e-06,5.0331648e-06,2.5165824e-06,5.0331648e-06,2.5165824e-06,5.0331648e-06,2.5165824e-06,1.2582912e-06,2.5165824e-06,1.2582912e-06,2.5165824e-06,1.2582912e-06,2.5165824e-06,1.2582912e-06,2.5165824e-06
Object buffer energy,6.788746038e-05,0.00018767542305000003,7.452818543000001e-05,5.749914326e-05,7.624525679e-05,3.6208724700000005e-05,2.9670548700000003e-05,3.6208724700000005e-05,2.9670548700000003e-05,3.7925796060000003e-05,1.8969605340000003e-05,1.655905302e-05,1.8969605340000003e-05,1.655905302e-05,1.8969605340000003e-05,1.655905302e-05,1.8969605340000003e-05,1.655905302e-05,1.8969605340000003e-05,1.655905302e-05,1.8969605340000003e-05,1.655905302e-05,1.8969605340000003e-05,1.655905302e-05,1.8969605340000003e-05,1.655905302e-05,2.2403748060000004e-05,1.1208581340000002e-05,1.172037654e-05,1.1208581340000002e-05,1.172037654e-05,1.1208581340000002e-05,1.172037654e-05,1.1208581340000002e-05,1.172037654e-05,1.1208581340000002e-05,1.172037654e-05,1.1208581340000002e-05,1.172037654e-05,1.1208581340000002e-05,1.172037654e-05,1.1208581340000002e-05,1.172037654e-05,1.8076866780000003e-05,9.0451407e-06,1.273518102e-05,9.0451407e-06,1.273518102e-05,9.0451407e-06,1.273518102e-05,9.0451407e-06,1.273518102e-05
