Size (Bytes),	Line Size (Bytes),	Associativity,	Num Banks,	Technology Node (um),	Operating Temp (K),	Cycle time (s),	Per-Byte Read Energy (J),	Per-Byte Write Energy (J),	Static Power (W),	Area (mm2),
67108864,	1,	2,	1,	0.065,	360,	4.4315900000000004e-10,	8.46258e-10,	8.45402e-10,	92.7548,	694.731,
67108864,	2,	2,	1,	0.065,	360,	3.9658500000000003e-10,	6.5105e-10,	6.463430000000001e-10,	102.113,	558.834,
67108864,	3,	2,	1,	0.065,	360,	4.19579e-10,	6.76596e-10,	6.628e-10,	98.87819999999999,	571.154,
67108864,	4,	2,	1,	0.065,	360,	4.00624e-10,	7.15449e-10,	7.10714e-10,	101.27,	557.898,
67108864,	5,	2,	1,	0.065,	360,	4.02694e-10,	8.142920000000001e-10,	8.109480000000001e-10,	100.35300000000001,	603.634,
67108864,	6,	2,	1,	0.065,	360,	4.15566e-10,	9.628640000000002e-10,	9.55086e-10,	99.8537,	611.676,
67108864,	7,	2,	1,	0.065,	360,	4.94702e-10,	1.03446e-09,	1.02941e-09,	95.9628,	565.256,
67108864,	8,	2,	1,	0.065,	360,	4.00624e-10,	1.1609400000000001e-09,	1.18262e-09,	101.396,	567.02,
67108864,	9,	2,	1,	0.065,	360,	3.9761700000000004e-10,	1.24833e-09,	1.25134e-09,	101.055,	590.79,
67108864,	10,	2,	1,	0.065,	360,	4.02694e-10,	1.3673100000000001e-09,	1.3683000000000001e-09,	100.35300000000001,	617.886,
67108864,	11,	2,	1,	0.065,	360,	4.08628e-10,	1.51105e-09,	1.5120000000000002e-09,	100.275,	611.645,
67108864,	12,	2,	1,	0.065,	360,	4.15566e-10,	1.6627000000000003e-09,	1.6625300000000003e-09,	99.8537,	628.485,
67108864,	13,	2,	1,	0.065,	360,	4.24613e-10,	1.8536100000000002e-09,	1.8509800000000002e-09,	98.77210000000001,	620.934,
67108864,	14,	2,	1,	0.065,	360,	4.94702e-10,	1.82057e-09,	1.8258000000000003e-09,	95.9628,	587.44,
67108864,	15,	2,	1,	0.065,	360,	5.01903e-10,	1.9216200000000002e-09,	1.92629e-09,	94.74289999999999,	596.336,
67108864,	16,	2,	1,	0.065,	360,	4.00624e-10,	2.07529e-09,	2.24763e-09,	101.496,	587.079,
67108864,	17,	2,	1,	0.065,	360,	3.9716300000000003e-10,	2.22193e-09,	2.38387e-09,	101.676,	600.18,
67108864,	18,	2,	1,	0.065,	360,	3.9761700000000004e-10,	2.27442e-09,	2.3416600000000004e-09,	100.772,	612.556,
67108864,	19,	2,	1,	0.065,	360,	3.9897100000000003e-10,	2.4047e-09,	2.4708600000000003e-09,	100.712,	622.208,
67108864,	20,	2,	1,	0.065,	360,	4.02694e-10,	2.53947e-09,	2.6048800000000002e-09,	100.758,	630.62,
67108864,	21,	2,	1,	0.065,	360,	4.05207e-10,	2.6765500000000002e-09,	2.7407900000000004e-09,	100.066,	635.215,
67108864,	22,	2,	1,	0.065,	360,	4.08628e-10,	2.89986e-09,	3.0270100000000003e-09,	100.58,	634.726,
67108864,	23,	2,	1,	0.065,	360,	4.1192900000000004e-10,	3.05289e-09,	3.1780300000000004e-09,	100.568,	643.331,
67108864,	24,	2,	1,	0.065,	360,	4.15566e-10,	3.2078400000000004e-09,	3.3303e-09,	100.035,	649.364,
67108864,	25,	2,	1,	0.065,	360,	4.1968000000000004e-10,	3.36173e-09,	3.4808300000000003e-09,	99.1462,	652.323,
67108864,	26,	2,	1,	0.065,	360,	4.28621e-10,	3.6946e-09,	4.04897e-09,	98.2477,	652.582,
67108864,	27,	2,	1,	0.065,	360,	4.912290000000001e-10,	3.3717800000000005e-09,	3.44391e-09,	96.30189999999999,	627.894,
67108864,	28,	2,	1,	0.065,	360,	4.94702e-10,	3.4783300000000003e-09,	3.5501700000000004e-09,	95.9628,	633.584,
67108864,	29,	2,	1,	0.065,	360,	4.9826e-10,	3.5909100000000004e-09,	3.66225e-09,	95.45360000000001,	640.748,
67108864,	30,	2,	1,	0.065,	360,	5.01903e-10,	3.6964600000000003e-09,	3.767080000000001e-09,	94.74289999999999,	644.635,
67108864,	31,	2,	1,	0.065,	360,	5.06459e-10,	3.81722e-09,	3.88758e-09,	94.5582,	652.697,
67108864,	32,	2,	1,	0.065,	360,	5.031160000000001e-10,	3.86793e-09,	3.96798e-09,	100.555,	659.321,
67108864,	33,	2,	1,	0.065,	360,	4.99699e-10,	3.90459e-09,	4.1057300000000005e-09,	100.565,	633.119,
67108864,	34,	2,	1,	0.065,	360,	4.0119700000000005e-10,	4.28155e-09,	5.248350000000001e-09,	100.953,	647.046,
67108864,	35,	2,	1,	0.065,	360,	4.0217000000000007e-10,	4.42193e-09,	5.45928e-09,	101.422,	652.188,
67108864,	36,	2,	1,	0.065,	360,	4.01646e-10,	4.5729400000000005e-09,	5.408990000000001e-09,	100.197,	661.275,
67108864,	37,	2,	1,	0.065,	360,	4.0266200000000005e-10,	4.712640000000001e-09,	5.55189e-09,	100.23700000000001,	668.229,
67108864,	38,	2,	1,	0.065,	360,	3.9897100000000003e-10,	4.899180000000001e-09,	5.7085500000000005e-09,	100.905,	671.229,
67108864,	39,	2,	1,	0.065,	360,	4.0218300000000003e-10,	5.05706e-09,	5.930620000000001e-09,	101.549,	677.076,
67108864,	40,	2,	1,	0.065,	360,	4.02694e-10,	5.200310000000001e-09,	5.9534700000000005e-09,	100.95,	683.871,
67108864,	41,	2,	1,	0.065,	360,	4.03936e-10,	5.16967e-09,	5.54414e-09,	100.087,	689.193,
67108864,	42,	2,	1,	0.065,	360,	4.05207e-10,	5.5054000000000004e-09,	6.308430000000001e-09,	100.539,	694.571,
67108864,	43,	2,	1,	0.065,	360,	4.07267e-10,	5.66902e-09,	6.5317000000000005e-09,	100.771,	697.894,
67108864,	44,	2,	1,	0.065,	360,	4.84485e-10,	5.41358e-09,	5.611340000000001e-09,	98.5548,	686.353,
67108864,	45,	2,	1,	0.065,	360,	4.848430000000001e-10,	5.575310000000001e-09,	5.77347e-09,	98.7381,	693.45,
67108864,	46,	2,	1,	0.065,	360,	4.84487e-10,	6.01805e-09,	6.80753e-09,	98.33380000000001,	676.113,
67108864,	47,	2,	1,	0.065,	360,	4.848910000000001e-10,	5.895550000000001e-09,	6.09288e-09,	98.3684,	704.489,
67108864,	48,	2,	1,	0.065,	360,	4.84934e-10,	6.19468e-09,	6.58701e-09,	97.73710000000001,	700.865,
67108864,	49,	2,	1,	0.065,	360,	4.86201e-10,	6.34061e-09,	7.128420000000001e-09,	98.2792,	687.898,
